id_aeropuerto;nombre_aeropuerto;id_ciudad
DUS;AEROPUERTO INTERNACIONAL DE DÜSSELDORF;344
DAR;DARIEN CALIMA;344
DAL;FORT WORTH;345
DFW;DALLAS;346
BIS;BISMARCK MUNI;347
MOT;METROPOLITAN AREA MINOT;347
DSS;" 	BLAISE DIAGNE INTL";348
CUZ;VELAZCO ASTETE;349
BCT;AFONSO PENA;350
CUR;HATO;351
7GS;EL ENCANTO;352
CUL;CULIACAN;353
CUE;CUENCA / MARISCAL LAMAR;354
CUC;CAMILO DAZA;355
RAV;CRAVO NORTE;356
CZM;COZUMEL INTL;357
CVN;COVEÑAS;358
COO;COTONÚ-CADJEHOUN;359
CNQ;CORRIENTES CAMBA PUNTA;360
CZU;COROZAL - LAS BRUJAS;361
COR;CORDOBA, CBA;362
CPH;KASTRUP;363
BDL;BRADLEY INTL;364
COG;CONDOTO MANDINGA;365
CKY;CONAKRY INTL.;366
CRD;COMODORO RIVADARIA AERODROME;367
CSG;METROPOLITAN AREA COLUMBUS;368
DEN;STAPLETON  INT;369
COS;COLORADO SPRINGS MUNICIPAL;369
EGE;EAGLE COUNTY;369
LFL;LAS FLORES;370
FLR;LAS FLORES;370
LAD;LA DILIA;370
CVG;COVINGTON - CINCINNATI;372
CIM;CIMITARRA GUSTAVO ROJAS;373
AMA;LA AMALIA;374
EQS;ESQUEL;375
CUU;CHIHUAHUA INTL;376
ORD;O .HARE;377
MDW;CHICAGO;377
GYM;GUAYMARAL;378
CHS;CHARLESTON AFB INTL;379
CRW;YEAGER;379
CPL;NAVAS PARDO - CHAPARRAL;380
CMI;UNIV OF ILLINOIS WILLARD;381
CAQ;CAUCASIA- JUAN H. WHITE;382
CTC;CATAMARCA;383
CMN;MOHAMMED V;384
RBA;RABAT - SALE;384
CRU;CARURU;385
CGW;SANTA ANA - VALLE;386
CTG;CARTAGENA - RAFAEL NUÑEZ;387
CAE;METROPOLITAN;388
GSP;AEROPUERTO INTERNACIONAL DE GREENVILLE-SPARTANBURG;388
APO;ANTONIO ROLDAN BETANCOURT;389
CWL;CARDIFF INTERNATIONAL AIRPORT;390
CCS;SIMON BOLIVAR INTL;391
PBL;AEROPUERTO GENERAL BARTOLOMÉ SALOM;392
CPB;CAPURGANA;393
ELP;EL PAILON;394
CUN;CANCUN INTL;395
ELH;EL LIMONAR;396
ONT;ONTARIO INTERNATIONAL;397
PSP;PALM SPRINGS INTERNATIO BUREAU;397
SJC;AEROPUERTO INTERNACIONAL DE SAN JOSÉ;397
BUR;BURBANK;397
CLO;CALI - ALFONSO BONILLA ARAGON;398
YYC;CALGARY INTL,ALTA;399
AEP; AEROPARQUE JORGE NEWBERY;400
ABE;BUENOS AIRES/AEROPARQUE, JORGE;400
BUN;BUENAVENTURA - GERARDO TOBAR LOPEZ;401
BUD;FERIHEGY;402
OTP;AEROPUERTO DE OTOPENI;403
BGA;BUCARAMANGA - PALONEGRO;404
BRU;BRUXELLES;405
BRS;BRISTOL AIRPORT;406
BGI;GRANTLEY ADAMS INTL;407
BSB;PRESIDENTE JUSCELINO KUBITSCHEK;408
BZN;GALLATIN;409
NTE;AEROPUERTO DE NANTES ATLANTIQUE;410
BOS;GEN.EDWARD L.LOGAN;411
LPA;LA PALMA;412
BOD;BORDEAUX;413
BON;FLAMINGO;414
BLQ;GUGLIELMO MARCONI;415
BOG;BOGOTA - EL DORADO LUIS CARLOS GALAN SARMIENTO;416
HEL;HELITAXI;416
CAI;CAJA DE VIVIENDA MILITAR - BOGOTA;416
CEN;CENTRO INTERNACIONAL TEQUENDAMA;416
BHX;INTERNATIONAL BIRMINGHAN;417
BLL;BILLUND;418
BIO;BILBAO;419
BIQ;BIARRITZ PAYS BASQUE;420
BDA;L.F WADE INTERNATIONAL;421
TXL;TEGEL;422
CNF;TANCREDO NEVES;423
BZE;PHILIP S W GOLDSON INTL;424
BEY;INTERNATIONAL;425
PEK;BEIJING;426
MST;MAASTRICHT AACHEN AIRPORT;427
BER;BECERRIL;428
BSL;EUROAIRPORT;429
BAQ;BARRANQUILLA-E. CORTISSOZ;430
EJA;BARRANCABERMEJA-YARIGUIES;431
BRM;BARQUISIMETO INTL;432
BRC;S.C.BARILOCHE;433
BCN;BARCELONA;434
BLB;BILBOA ALBROOK AFS;435
BBA;PIZARRO;436
BSC;BAHIA SOLANO - JOSE C. MUTIS;437
BHI;COMANDANTE ESPORA;438
CEB;EL CEBRUNO;439
AKL;AUCKLAND;440
ACY;ATLANTIC CITY INTL;441
ATL;HARTSFIELD JACKSON ATLANTA INTL;442
ATH;ELEFTHERIC;443
ASU;SILVIO PETTIROSSI INTL;444
AUA;REINA BEATRIX INTL;445
YYW;INTERNATIONAL ARMSTRONG;446
AXM;EL EDEN;447
LIT;ADAMS FIELD;448
XNA;FAYETTEVELLI;448
PHX;SKY HARBORT INTERNATIONAL;449
TUS;TUCSON INTERNATIONAL AIRPORT;449
CPE;CAPELLANIA;450
AUC;ARAUCA - SANTIAGO PEREZ QUIROZ;452
BLA;BARCELONA/INTL.GRAL JOSE ANTON;453
ANF;CERRO MORENO;454
ESB;ANKARA/ESENBOGA;455
AMS;SCHIPHOL;456
